NewValues are Y: 0.686502, Pb: -0.035538, Pr: 0.061374
NewValues are Y: 0.569059, Pb: 0.015248, Pr: 0.097592
NewValues are Y: 0.671353, Pb: 0.050469, Pr: 0.108542
NewValues are Y: 0.528435, Pb: 0.020469, Pr: 0.098596
NewValues are Y: 0.659588, Pb: 0.050469, Pr: 0.108542
NewValues are Y: 0.549396, Pb: 0.066180, Pr: 0.100428
NewValues are Y: 0.596584, Pb: 0.050615, Pr: 0.075162
NewValues are Y: 0.626933, Pb: 0.062258, Pr: 0.101066
NewValues are Y: 0.553961, Pb: 0.041473, Pr: 0.074795
NewValues are Y: 0.513898, Pb: -0.000097, Pr: 0.022254
NewValues are Y: 0.572047, Pb: -0.041765, Pr: -0.008033
NewValues are Y: 0.544420, Pb: -0.004043, Pr: 0.028455
NewValues are Y: 0.498988, Pb: -0.047010, Pr: -0.003474
NewValues are Y: 0.777212, Pb: -0.075663, Pr: -0.022906
NewValues are Y: 0.684824, Pb: -0.085491, Pr: -0.015748
NewValues are Y: 0.624102, Pb: -0.082207, Pr: -0.019988
NewValues are Y: 0.595184, Pb: -0.094658, Pr: -0.010551
NewValues are Y: 0.497953, Pb: -0.075196, Pr: 0.019641
NewValues are Y: 0.502427, Pb: -0.062229, Pr: 0.041624
NewValues are Y: 0.513192, Pb: -0.077157, Pr: 0.019960
NewValues are Y: 0.536828, Pb: -0.066151, Pr: 0.042262
NewValues are Y: 0.736890, Pb: -0.055121, Pr: 0.059000
NewValues are Y: 0.607714, Pb: -0.059680, Pr: 0.056035
NewValues are Y: 0.631008, Pb: -0.055121, Pr: 0.059000
NewValues are Y: 0.584184, Pb: -0.059680, Pr: 0.056035
NewValues are Y: 0.575384, Pb: -0.074632, Pr: 0.039934
NewValues are Y: 0.649765, Pb: -0.074558, Pr: 0.023244
NewValues are Y: 0.600937, Pb: -0.071347, Pr: 0.035694
NewValues are Y: 0.596886, Pb: -0.071274, Pr: 0.019004
NewValues are Y: 0.613188, Pb: -0.062769, Pr: 0.015767
NewValues are Y: 0.596498, Pb: -0.055564, Pr: 0.010889
NewValues are Y: 0.666235, Pb: -0.059510, Pr: 0.017090
NewValues are Y: 0.588655, Pb: -0.055564, Pr: 0.010889
NewValues are Y: 0.623055, Pb: -0.059485, Pr: 0.011527
NewValues are Y: 0.536333, Pb: -0.061446, Pr: 0.011846
NewValues are Y: 0.689722, Pb: -0.059485, Pr: 0.011527
NewValues are Y: 0.736333, Pb: -0.061446, Pr: 0.011846
NewValues are Y: 0.491620, Pb: -0.062769, Pr: 0.015767
NewValues are Y: 0.557392, Pb: -0.066691, Pr: 0.016405
NewValues are Y: 0.660247, Pb: -0.062769, Pr: 0.015767
NewValues are Y: 0.577000, Pb: -0.066691, Pr: 0.016405
NewValues are Y: 0.521863, Pb: -0.062132, Pr: 0.019370
NewValues are Y: 0.461910, Pb: -0.061495, Pr: 0.022973
NewValues are Y: 0.478725, Pb: -0.062132, Pr: 0.019370
NewValues are Y: 0.438380, Pb: -0.061495, Pr: 0.022973
NewValues are Y: 0.522118, Pb: -0.055637, Pr: 0.027580
NewValues are Y: 0.588549, Pb: -0.051078, Pr: 0.030545
NewValues are Y: 0.446714, Pb: -0.059558, Pr: 0.028217
NewValues are Y: 0.517961, Pb: -0.051078, Pr: 0.030545
NewValues are Y: 0.493278, Pb: -0.039362, Pr: 0.039758
NewValues are Y: 0.223349, Pb: -0.030881, Pr: 0.042086
NewValues are Y: 0.494408, Pb: -0.039999, Pr: 0.036156
NewValues are Y: 0.364525, Pb: -0.030881, Pr: 0.042086
NewValues are Y: 0.019933, Pb: -0.011249, Pr: 0.033333
NewValues are Y: 0.161239, Pb: -0.011322, Pr: 0.050024
NewValues are Y: 0.254698, Pb: -0.019803, Pr: 0.047697
NewValues are Y: 0.392612, Pb: -0.011322, Pr: 0.050024
NewValues are Y: 0.450518, Pb: -0.004165, Pr: 0.056273
NewValues are Y: 0.434533, Pb: -0.010636, Pr: 0.042500
NewValues are Y: 0.540714, Pb: -0.004165, Pr: 0.056273
NewValues are Y: 0.391396, Pb: -0.010636, Pr: 0.042500
NewValues are Y: 0.337224, Pb: -0.035391, Pr: 0.027994
NewValues are Y: 0.325439, Pb: -0.046446, Pr: 0.016819
NewValues are Y: 0.396004, Pb: -0.035367, Pr: 0.022430
NewValues are Y: 0.474459, Pb: -0.046446, Pr: 0.016819
NewValues are Y: 0.318533, Pb: -0.042549, Pr: 0.021745
NewValues are Y: 0.030271, Pb: -0.017083, Pr: 0.023163
NewValues are Y: 0.344812, Pb: -0.041887, Pr: 0.019784
NewValues are Y: 0.314655, Pb: -0.042573, Pr: 0.027308
NewValues are Y: 0.231663, Pb: -0.039999, Pr: 0.036156
NewValues are Y: 0.269749, Pb: -0.039362, Pr: 0.039758
NewValues are Y: 0.427294, Pb: -0.041960, Pr: 0.036474
NewValues are Y: 0.518663, Pb: -0.042622, Pr: 0.038435
NewValues are Y: 0.404298, Pb: -0.040048, Pr: 0.047283
NewValues are Y: 0.290573, Pb: -0.040048, Pr: 0.047283
NewValues are Y: 0.404255, Pb: -0.040023, Pr: 0.041719
NewValues are Y: 0.258710, Pb: -0.041984, Pr: 0.042038
NewValues are Y: 0.200333, Pb: -0.040023, Pr: 0.041719
NewValues are Y: 0.391318, Pb: -0.039362, Pr: 0.039758
NewValues are Y: 0.290529, Pb: -0.040023, Pr: 0.041719
NewValues are Y: 0.344259, Pb: -0.039362, Pr: 0.039758
NewValues are Y: 0.443384, Pb: -0.039975, Pr: 0.030592
NewValues are Y: 0.202953, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.364953, Pb: -0.039975, Pr: 0.030592
NewValues are Y: 0.230404, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.200843, Pb: -0.042524, Pr: 0.016181
NewValues are Y: 0.180020, Pb: -0.041838, Pr: 0.008657
NewValues are Y: 0.294961, Pb: -0.042524, Pr: 0.016181
NewValues are Y: 0.400800, Pb: -0.042500, Pr: 0.010618
NewValues are Y: 0.446643, Pb: -0.041814, Pr: 0.003094
NewValues are Y: 0.494149, Pb: -0.039853, Pr: 0.002775
NewValues are Y: 0.478016, Pb: -0.041814, Pr: 0.003094
NewValues are Y: 0.517678, Pb: -0.039853, Pr: 0.002775
NewValues are Y: 0.242463, Pb: -0.026176, Pr: 0.011670
