NewValues are red flaot: 0.101961, green float: 0.039216, blue float: 0.039216
NewValues are red flaot: 0.254902, green float: 0.192157, blue float: 0.192157
NewValues are red flaot: 0.462745, green float: 0.400000, blue float: 0.400000
NewValues are red flaot: 0.333333, green float: 0.341176, blue float: 0.286275
NewValues are red flaot: 0.270588, green float: 0.274510, blue float: 0.211765
NewValues are red flaot: 0.309804, green float: 0.305882, blue float: 0.227451
NewValues are red flaot: 0.411765, green float: 0.392157, blue float: 0.313726
NewValues are red flaot: 0.552941, green float: 0.501961, blue float: 0.435294
NewValues are red flaot: 0.572549, green float: 0.498039, blue float: 0.443137
NewValues are red flaot: 0.443137, green float: 0.345098, blue float: 0.325490
NewValues are red flaot: 0.411765, green float: 0.313726, blue float: 0.294118
NewValues are red flaot: 0.462745, green float: 0.384314, blue float: 0.356863
NewValues are red flaot: 0.580392, green float: 0.525490, blue float: 0.474510
NewValues are red flaot: 0.564706, green float: 0.545098, blue float: 0.466667
NewValues are red flaot: 0.450980, green float: 0.443137, blue float: 0.352941
NewValues are red flaot: 0.411765, green float: 0.403922, blue float: 0.313726
NewValues are red flaot: 0.466667, green float: 0.443137, blue float: 0.356863
NewValues are red flaot: 0.458824, green float: 0.396078, blue float: 0.337255
NewValues are red flaot: 0.921569, green float: 0.854902, blue float: 0.823529
NewValues are red flaot: 0.827451, green float: 0.792157, blue float: 0.772549
NewValues are red flaot: 0.615686, green float: 0.596078, blue float: 0.580392
NewValues are red flaot: 0.690196, green float: 0.662745, blue float: 0.639216
NewValues are red flaot: 0.631373, green float: 0.603922, blue float: 0.572549
NewValues are red flaot: 0.509804, green float: 0.474510, blue float: 0.439216
NewValues are red flaot: 0.494118, green float: 0.462745, blue float: 0.411765
NewValues are red flaot: 0.729412, green float: 0.690196, blue float: 0.643137
NewValues are red flaot: 0.945098, green float: 0.909804, blue float: 0.850980
NewValues are red flaot: 0.588235, green float: 0.541176, blue float: 0.478431
NewValues are red flaot: 0.611765, green float: 0.564706, blue float: 0.501961
NewValues are red flaot: 0.760784, green float: 0.709804, blue float: 0.647059
NewValues are red flaot: 0.717647, green float: 0.666667, blue float: 0.603922
NewValues are red flaot: 0.435294, green float: 0.380392, blue float: 0.329412
NewValues are red flaot: 0.396078, green float: 0.341176, blue float: 0.290196
NewValues are red flaot: 0.501961, green float: 0.435294, blue float: 0.396078
NewValues are red flaot: 0.384314, green float: 0.317647, blue float: 0.278431
NewValues are red flaot: 0.411765, green float: 0.337255, blue float: 0.282353
NewValues are red flaot: 0.603922, green float: 0.529412, blue float: 0.474510
NewValues are red flaot: 0.439216, green float: 0.368627, blue float: 0.321569
NewValues are red flaot: 0.431373, green float: 0.364706, blue float: 0.325490
NewValues are red flaot: 0.592157, green float: 0.533333, blue float: 0.505882
NewValues are red flaot: 0.607843, green float: 0.564706, blue float: 0.549020
NewValues are red flaot: 0.596078, green float: 0.556863, blue float: 0.549020
NewValues are red flaot: 0.478431, green float: 0.447059, blue float: 0.439216
NewValues are red flaot: 0.247059, green float: 0.215686, blue float: 0.207843
NewValues are red flaot: 0.137255, green float: 0.117647, blue float: 0.101961
NewValues are red flaot: 0.341176, green float: 0.313726, blue float: 0.290196
NewValues are red flaot: 0.615686, green float: 0.588235, blue float: 0.549020
NewValues are red flaot: 0.580392, green float: 0.541176, blue float: 0.494118
NewValues are red flaot: 0.607843, green float: 0.572549, blue float: 0.505882
NewValues are red flaot: 0.752941, green float: 0.709804, blue float: 0.639216
NewValues are red flaot: 0.639216, green float: 0.596078, blue float: 0.525490
NewValues are red flaot: 0.407843, green float: 0.372549, blue float: 0.305882
NewValues are red flaot: 0.584314, green float: 0.549020, blue float: 0.482353
NewValues are red flaot: 0.580392, green float: 0.549020, blue float: 0.474510
NewValues are red flaot: 0.686275, green float: 0.654902, blue float: 0.572549
NewValues are red flaot: 0.619608, green float: 0.580392, blue float: 0.482353
NewValues are red flaot: 0.521569, green float: 0.482353, blue float: 0.376471
NewValues are red flaot: 0.576471, green float: 0.541176, blue float: 0.427451
NewValues are red flaot: 0.533333, green float: 0.490196, blue float: 0.380392
NewValues are red flaot: 0.662745, green float: 0.615686, blue float: 0.513726
NewValues are red flaot: 0.603922, green float: 0.545098, blue float: 0.462745
NewValues are red flaot: 0.650980, green float: 0.588235, blue float: 0.529412
NewValues are red flaot: 0.752941, green float: 0.686275, blue float: 0.647059
NewValues are red flaot: 0.690196, green float: 0.619608, blue float: 0.603922
NewValues are red flaot: 0.513726, green float: 0.439216, blue float: 0.447059
NewValues are red flaot: 0.501961, green float: 0.427451, blue float: 0.450980
NewValues are red flaot: 0.619608, green float: 0.560784, blue float: 0.533333
NewValues are red flaot: 0.447059, green float: 0.431373, blue float: 0.286275
NewValues are red flaot: 0.474510, green float: 0.470588, blue float: 0.290196
NewValues are red flaot: 0.447059, green float: 0.427451, blue float: 0.309804
NewValues are red flaot: 0.521569, green float: 0.490196, blue float: 0.400000
NewValues are red flaot: 0.796078, green float: 0.752941, blue float: 0.674510
NewValues are red flaot: 0.662745, green float: 0.603922, blue float: 0.521569
NewValues are red flaot: 0.509804, green float: 0.450980, blue float: 0.337255
NewValues are red flaot: 0.698039, green float: 0.631373, blue float: 0.521569
NewValues are red flaot: 0.623529, green float: 0.560784, blue float: 0.470588
NewValues are red flaot: 0.501961, green float: 0.431373, blue float: 0.392157
NewValues are red flaot: 0.670588, green float: 0.596078, blue float: 0.611765
NewValues are red flaot: 0.878431, green float: 0.815686, blue float: 0.854902
NewValues are red flaot: 0.792157, green float: 0.749020, blue float: 0.764706
NewValues are red flaot: 0.450980, green float: 0.427451, blue float: 0.380392
NewValues are red flaot: 0.384314, green float: 0.388235, blue float: 0.254902
NewValues are red flaot: 0.509804, green float: 0.501961, blue float: 0.341176
NewValues are red flaot: 0.768627, green float: 0.709804, blue float: 0.588235
NewValues are red flaot: 0.772549, green float: 0.654902, blue float: 0.623529
NewValues are red flaot: 0.666667, green float: 0.450980, blue float: 0.564706
NewValues are red flaot: 0.811765, green float: 0.564706, blue float: 0.749020
NewValues are red flaot: 0.768627, green float: 0.533333, blue float: 0.737255
NewValues are red flaot: 0.658824, green float: 0.486275, blue float: 0.627451
NewValues are red flaot: 0.584314, green float: 0.525490, blue float: 0.537255
